"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: totalStages"
"amphip.stoch.StochDataBench.lSetDataBounds","avgt",1,10,"49,839633","0,644272","us/op",8
"amphip.stoch.StochDataBench.lSetDataBounds:·gc.alloc.rate","avgt",1,10,"310,694395","3,997156","MB/sec",8
"amphip.stoch.StochDataBench.lSetDataBounds:·gc.alloc.rate.norm","avgt",1,10,"17055,481198","27,091309","B/op",8
"amphip.stoch.StochDataBench.lSetDataBounds:·gc.churn.G1_Eden_Space","avgt",1,10,"310,908263","7,659530","MB/sec",8
"amphip.stoch.StochDataBench.lSetDataBounds:·gc.churn.G1_Eden_Space.norm","avgt",1,10,"17067,060067","341,053228","B/op",8
"amphip.stoch.StochDataBench.lSetDataBounds:·gc.churn.G1_Old_Gen","avgt",1,10,"0,005999","0,000822","MB/sec",8
"amphip.stoch.StochDataBench.lSetDataBounds:·gc.churn.G1_Old_Gen.norm","avgt",1,10,"0,329273","0,044576","B/op",8
"amphip.stoch.StochDataBench.lSetDataBounds:·gc.count","avgt",1,10,"297,000000",NaN,"counts",8
"amphip.stoch.StochDataBench.lSetDataBounds:·gc.time","avgt",1,10,"148,000000",NaN,"ms",8
"amphip.stoch.StochDataBench.lSetDataBounds","avgt",1,10,"7243,142436","3183,568819","us/op",12
"amphip.stoch.StochDataBench.lSetDataBounds:·gc.alloc.rate","avgt",1,10,"43,533409","15,507014","MB/sec",12
"amphip.stoch.StochDataBench.lSetDataBounds:·gc.alloc.rate.norm","avgt",1,10,"325610,483613","3293,242621","B/op",12
"amphip.stoch.StochDataBench.lSetDataBounds:·gc.churn.G1_Eden_Space","avgt",1,10,"43,764653","18,246858","MB/sec",12
"amphip.stoch.StochDataBench.lSetDataBounds:·gc.churn.G1_Eden_Space.norm","avgt",1,10,"323435,566431","56234,990924","B/op",12
"amphip.stoch.StochDataBench.lSetDataBounds:·gc.churn.G1_Old_Gen","avgt",1,10,"0,009156","0,013272","MB/sec",12
"amphip.stoch.StochDataBench.lSetDataBounds:·gc.churn.G1_Old_Gen.norm","avgt",1,10,"65,893095","90,532770","B/op",12
"amphip.stoch.StochDataBench.lSetDataBounds:·gc.count","avgt",1,10,"59,000000",NaN,"counts",12
"amphip.stoch.StochDataBench.lSetDataBounds:·gc.time","avgt",1,10,"115,000000",NaN,"ms",12
"amphip.stoch.StochDataBench.lSetDataBounds","avgt",1,10,"144938,172723","32855,717180","us/op",15
"amphip.stoch.StochDataBench.lSetDataBounds:·gc.alloc.rate","avgt",1,10,"16,761845","3,820487","MB/sec",15
"amphip.stoch.StochDataBench.lSetDataBounds:·gc.alloc.rate.norm","avgt",1,10,"2621183,235577","6167,755978","B/op",15
"amphip.stoch.StochDataBench.lSetDataBounds:·gc.churn.G1_Eden_Space","avgt",1,10,"19,210700","46,765568","MB/sec",15
"amphip.stoch.StochDataBench.lSetDataBounds:·gc.churn.G1_Eden_Space.norm","avgt",1,10,"3134186,576413","7671972,810535","B/op",15
"amphip.stoch.StochDataBench.lSetDataBounds:·gc.churn.G1_Old_Gen","avgt",1,10,"0,003807","0,018200","MB/sec",15
"amphip.stoch.StochDataBench.lSetDataBounds:·gc.churn.G1_Old_Gen.norm","avgt",1,10,"635,414925","3037,863214","B/op",15
"amphip.stoch.StochDataBench.lSetDataBounds:·gc.churn.G1_Survivor_Space","avgt",1,10,"0,037861","0,120675","MB/sec",15
"amphip.stoch.StochDataBench.lSetDataBounds:·gc.churn.G1_Survivor_Space.norm","avgt",1,10,"6106,077252","19602,885365","B/op",15
"amphip.stoch.StochDataBench.lSetDataBounds:·gc.count","avgt",1,10,"3,000000",NaN,"counts",15
"amphip.stoch.StochDataBench.lSetDataBounds:·gc.time","avgt",1,10,"15,000000",NaN,"ms",15
"amphip.stoch.StochDataBench.pData","avgt",1,10,"1229,890041","406,196913","us/op",8
"amphip.stoch.StochDataBench.pData:·gc.alloc.rate","avgt",1,10,"1816,345050","417,994595","MB/sec",8
"amphip.stoch.StochDataBench.pData:·gc.alloc.rate.norm","avgt",1,10,"2388289,339307","1151,139182","B/op",8
"amphip.stoch.StochDataBench.pData:·gc.churn.G1_Eden_Space","avgt",1,10,"1820,738038","414,087129","MB/sec",8
"amphip.stoch.StochDataBench.pData:·gc.churn.G1_Eden_Space.norm","avgt",1,10,"2395127,036265","27052,669344","B/op",8
"amphip.stoch.StochDataBench.pData:·gc.churn.G1_Old_Gen","avgt",1,10,"0,316369","0,070378","MB/sec",8
"amphip.stoch.StochDataBench.pData:·gc.churn.G1_Old_Gen.norm","avgt",1,10,"416,666754","19,112746","B/op",8
"amphip.stoch.StochDataBench.pData:·gc.count","avgt",1,10,"653,000000",NaN,"counts",8
"amphip.stoch.StochDataBench.pData:·gc.time","avgt",1,10,"799,000000",NaN,"ms",8
"amphip.stoch.StochDataBench.pData","avgt",1,10,"34080,574905","18937,854378","us/op",12
"amphip.stoch.StochDataBench.pData:·gc.alloc.rate","avgt",1,10,"1682,360126","590,137200","MB/sec",12
"amphip.stoch.StochDataBench.pData:·gc.alloc.rate.norm","avgt",1,10,"58450816,724484","24039,337569","B/op",12
"amphip.stoch.StochDataBench.pData:·gc.churn.G1_Eden_Space","avgt",1,10,"1686,563506","586,578028","MB/sec",12
"amphip.stoch.StochDataBench.pData:·gc.churn.G1_Eden_Space.norm","avgt",1,10,"58664483,757047","1493584,804242","B/op",12
"amphip.stoch.StochDataBench.pData:·gc.churn.G1_Old_Gen","avgt",1,10,"0,423826","0,178079","MB/sec",12
"amphip.stoch.StochDataBench.pData:·gc.churn.G1_Old_Gen.norm","avgt",1,10,"14620,555007","2520,686589","B/op",12
"amphip.stoch.StochDataBench.pData:·gc.churn.G1_Survivor_Space","avgt",1,10,"3,278287","1,111296","MB/sec",12
"amphip.stoch.StochDataBench.pData:·gc.churn.G1_Survivor_Space.norm","avgt",1,10,"114383,292495","8585,759142","B/op",12
"amphip.stoch.StochDataBench.pData:·gc.count","avgt",1,10,"269,000000",NaN,"counts",12
"amphip.stoch.StochDataBench.pData:·gc.time","avgt",1,10,"1953,000000",NaN,"ms",12
"amphip.stoch.StochDataBench.pData","avgt",1,10,"411453,460583","182795,819500","us/op",15
"amphip.stoch.StochDataBench.pData:·gc.alloc.rate","avgt",1,10,"1383,028603","519,856885","MB/sec",15
"amphip.stoch.StochDataBench.pData:·gc.alloc.rate.norm","avgt",1,10,"585873581,406992","187558,818317","B/op",15
"amphip.stoch.StochDataBench.pData:·gc.churn.G1_Eden_Space","avgt",1,10,"1395,936502","568,307734","MB/sec",15
"amphip.stoch.StochDataBench.pData:·gc.churn.G1_Eden_Space.norm","avgt",1,10,"589206111,560861","67387352,107356","B/op",15
"amphip.stoch.StochDataBench.pData:·gc.churn.G1_Old_Gen","avgt",1,10,"0,079061","0,058279","MB/sec",15
"amphip.stoch.StochDataBench.pData:·gc.churn.G1_Old_Gen.norm","avgt",1,10,"32475,760353","22802,669037","B/op",15
"amphip.stoch.StochDataBench.pData:·gc.churn.G1_Survivor_Space","avgt",1,10,"0,140146","0,168003","MB/sec",15
"amphip.stoch.StochDataBench.pData:·gc.churn.G1_Survivor_Space.norm","avgt",1,10,"57626,883581","65950,049785","B/op",15
"amphip.stoch.StochDataBench.pData:·gc.count","avgt",1,10,"67,000000",NaN,"counts",15
"amphip.stoch.StochDataBench.pData:·gc.time","avgt",1,10,"2519,000000",NaN,"ms",15
"amphip.stoch.StochDataBench.pDataBounds","avgt",1,10,"325,810932","115,851448","us/op",8
"amphip.stoch.StochDataBench.pDataBounds:·gc.alloc.rate","avgt",1,10,"1837,245607","491,893644","MB/sec",8
"amphip.stoch.StochDataBench.pDataBounds:·gc.alloc.rate.norm","avgt",1,10,"634791,561467","267,984959","B/op",8
"amphip.stoch.StochDataBench.pDataBounds:·gc.churn.G1_Eden_Space","avgt",1,10,"1840,315113","492,887948","MB/sec",8
"amphip.stoch.StochDataBench.pDataBounds:·gc.churn.G1_Eden_Space.norm","avgt",1,10,"635840,737360","5577,362129","B/op",8
"amphip.stoch.StochDataBench.pDataBounds:·gc.churn.G1_Old_Gen","avgt",1,10,"0,119589","0,037793","MB/sec",8
"amphip.stoch.StochDataBench.pDataBounds:·gc.churn.G1_Old_Gen.norm","avgt",1,10,"41,074187","3,751943","B/op",8
"amphip.stoch.StochDataBench.pDataBounds:·gc.count","avgt",1,10,"820,000000",NaN,"counts",8
"amphip.stoch.StochDataBench.pDataBounds:·gc.time","avgt",1,10,"799,000000",NaN,"ms",8
"amphip.stoch.StochDataBench.pDataBounds","avgt",1,10,"12219,391843","1054,719146","us/op",12
"amphip.stoch.StochDataBench.pDataBounds:·gc.alloc.rate","avgt",1,10,"858,136356","68,015225","MB/sec",12
"amphip.stoch.StochDataBench.pDataBounds:·gc.alloc.rate.norm","avgt",1,10,"11518241,473740","9588,862331","B/op",12
"amphip.stoch.StochDataBench.pDataBounds:·gc.churn.G1_Eden_Space","avgt",1,10,"859,841829","74,049139","MB/sec",12
"amphip.stoch.StochDataBench.pDataBounds:·gc.churn.G1_Eden_Space.norm","avgt",1,10,"11538801,956813","166986,348605","B/op",12
"amphip.stoch.StochDataBench.pDataBounds:·gc.churn.G1_Old_Gen","avgt",1,10,"0,359482","0,075646","MB/sec",12
"amphip.stoch.StochDataBench.pDataBounds:·gc.churn.G1_Old_Gen.norm","avgt",1,10,"4817,430163","817,304850","B/op",12
"amphip.stoch.StochDataBench.pDataBounds:·gc.churn.G1_Survivor_Space","avgt",1,10,"1,312322","0,212173","MB/sec",12
"amphip.stoch.StochDataBench.pDataBounds:·gc.churn.G1_Survivor_Space.norm","avgt",1,10,"17610,708962","2369,352006","B/op",12
"amphip.stoch.StochDataBench.pDataBounds:·gc.count","avgt",1,10,"291,000000",NaN,"counts",12
"amphip.stoch.StochDataBench.pDataBounds:·gc.time","avgt",1,10,"1052,000000",NaN,"ms",12
"amphip.stoch.StochDataBench.pDataBounds","avgt",1,10,"144715,213646","2328,446490","us/op",15
"amphip.stoch.StochDataBench.pDataBounds:·gc.alloc.rate","avgt",1,10,"585,165020","8,508961","MB/sec",15
"amphip.stoch.StochDataBench.pDataBounds:·gc.alloc.rate.norm","avgt",1,10,"93230058,543086","169299,275567","B/op",15
"amphip.stoch.StochDataBench.pDataBounds:·gc.churn.G1_Eden_Space","avgt",1,10,"586,959881","44,036504","MB/sec",15
"amphip.stoch.StochDataBench.pDataBounds:·gc.churn.G1_Eden_Space.norm","avgt",1,10,"93516057,806396","6869599,129203","B/op",15
"amphip.stoch.StochDataBench.pDataBounds:·gc.churn.G1_Old_Gen","avgt",1,10,"0,122495","0,063279","MB/sec",15
"amphip.stoch.StochDataBench.pDataBounds:·gc.churn.G1_Old_Gen.norm","avgt",1,10,"19502,709590","9975,101590","B/op",15
"amphip.stoch.StochDataBench.pDataBounds:·gc.churn.G1_Survivor_Space","avgt",1,10,"5,654847","0,953763","MB/sec",15
"amphip.stoch.StochDataBench.pDataBounds:·gc.churn.G1_Survivor_Space.norm","avgt",1,10,"900398,712907","143053,462027","B/op",15
"amphip.stoch.StochDataBench.pDataBounds:·gc.count","avgt",1,10,"93,000000",NaN,"counts",15
"amphip.stoch.StochDataBench.pDataBounds:·gc.time","avgt",1,10,"1897,000000",NaN,"ms",15
"amphip.stoch.StochDataBench.pDataBoundsTwoPass","avgt",1,10,"296,722388","8,702567","us/op",8
"amphip.stoch.StochDataBench.pDataBoundsTwoPass:·gc.alloc.rate","avgt",1,10,"2029,685519","57,596242","MB/sec",8
"amphip.stoch.StochDataBench.pDataBoundsTwoPass:·gc.alloc.rate.norm","avgt",1,10,"663116,930838","205,842657","B/op",8
"amphip.stoch.StochDataBench.pDataBoundsTwoPass:·gc.churn.G1_Eden_Space","avgt",1,10,"2034,811897","61,388908","MB/sec",8
"amphip.stoch.StochDataBench.pDataBoundsTwoPass:·gc.churn.G1_Eden_Space.norm","avgt",1,10,"664782,580632","4027,332933","B/op",8
"amphip.stoch.StochDataBench.pDataBoundsTwoPass:·gc.churn.G1_Old_Gen","avgt",1,10,"0,082535","0,007291","MB/sec",8
"amphip.stoch.StochDataBench.pDataBoundsTwoPass:·gc.churn.G1_Old_Gen.norm","avgt",1,10,"26,971906","2,446641","B/op",8
"amphip.stoch.StochDataBench.pDataBoundsTwoPass:·gc.count","avgt",1,10,"873,000000",NaN,"counts",8
"amphip.stoch.StochDataBench.pDataBoundsTwoPass:·gc.time","avgt",1,10,"722,000000",NaN,"ms",8
"amphip.stoch.StochDataBench.pDataBoundsTwoPass","avgt",1,10,"11437,198844","164,801221","us/op",12
"amphip.stoch.StochDataBench.pDataBoundsTwoPass:·gc.alloc.rate","avgt",1,10,"991,626842","14,435346","MB/sec",12
"amphip.stoch.StochDataBench.pDataBoundsTwoPass:·gc.alloc.rate.norm","avgt",1,10,"12490254,189095","4841,312978","B/op",12
"amphip.stoch.StochDataBench.pDataBoundsTwoPass:·gc.churn.G1_Eden_Space","avgt",1,10,"993,352676","22,079099","MB/sec",12
"amphip.stoch.StochDataBench.pDataBoundsTwoPass:·gc.churn.G1_Eden_Space.norm","avgt",1,10,"12512332,033272","254752,125445","B/op",12
"amphip.stoch.StochDataBench.pDataBoundsTwoPass:·gc.churn.G1_Old_Gen","avgt",1,10,"0,098061","0,164891","MB/sec",12
"amphip.stoch.StochDataBench.pDataBoundsTwoPass:·gc.churn.G1_Old_Gen.norm","avgt",1,10,"1237,606253","2092,273537","B/op",12
"amphip.stoch.StochDataBench.pDataBoundsTwoPass:·gc.churn.G1_Survivor_Space","avgt",1,10,"0,047543","0,227298","MB/sec",12
"amphip.stoch.StochDataBench.pDataBoundsTwoPass:·gc.churn.G1_Survivor_Space.norm","avgt",1,10,"602,629885","2881,120802","B/op",12
"amphip.stoch.StochDataBench.pDataBoundsTwoPass:·gc.count","avgt",1,10,"303,000000",NaN,"counts",12
"amphip.stoch.StochDataBench.pDataBoundsTwoPass:·gc.time","avgt",1,10,"1020,000000",NaN,"ms",12
"amphip.stoch.StochDataBench.pDataBoundsTwoPass","avgt",1,10,"157222,164591","5011,823835","us/op",15
"amphip.stoch.StochDataBench.pDataBoundsTwoPass:·gc.alloc.rate","avgt",1,10,"581,033493","18,109884","MB/sec",15
"amphip.stoch.StochDataBench.pDataBoundsTwoPass:·gc.alloc.rate.norm","avgt",1,10,"100538037,783211","55599,275292","B/op",15
"amphip.stoch.StochDataBench.pDataBoundsTwoPass:·gc.churn.G1_Eden_Space","avgt",1,10,"568,091297","6,217264","MB/sec",15
"amphip.stoch.StochDataBench.pDataBoundsTwoPass:·gc.churn.G1_Eden_Space.norm","avgt",1,10,"98331361,822654","2838120,223714","B/op",15
"amphip.stoch.StochDataBench.pDataBoundsTwoPass:·gc.churn.G1_Old_Gen","avgt",1,10,"0,088209","0,031230","MB/sec",15
"amphip.stoch.StochDataBench.pDataBoundsTwoPass:·gc.churn.G1_Old_Gen.norm","avgt",1,10,"15271,731330","5416,794192","B/op",15
"amphip.stoch.StochDataBench.pDataBoundsTwoPass:·gc.churn.G1_Survivor_Space","avgt",1,10,"2,225155","0,795186","MB/sec",15
"amphip.stoch.StochDataBench.pDataBoundsTwoPass:·gc.churn.G1_Survivor_Space.norm","avgt",1,10,"384996,633788","135896,567219","B/op",15
"amphip.stoch.StochDataBench.pDataBoundsTwoPass:·gc.count","avgt",1,10,"61,000000",NaN,"counts",15
"amphip.stoch.StochDataBench.pDataBoundsTwoPass:·gc.time","avgt",1,10,"1131,000000",NaN,"ms",15
"amphip.stoch.StochDataBench.pDataCacheBuffer","avgt",1,10,"666,692375","13,077684","us/op",8
"amphip.stoch.StochDataBench.pDataCacheBuffer:·gc.alloc.rate","avgt",1,10,"2661,502062","52,306215","MB/sec",8
"amphip.stoch.StochDataBench.pDataCacheBuffer:·gc.alloc.rate.norm","avgt",1,10,"1953992,971528","401,178348","B/op",8
"amphip.stoch.StochDataBench.pDataCacheBuffer:·gc.churn.G1_Eden_Space","avgt",1,10,"2665,273062","53,879898","MB/sec",8
"amphip.stoch.StochDataBench.pDataCacheBuffer:·gc.churn.G1_Eden_Space.norm","avgt",1,10,"1956777,349411","15692,984673","B/op",8
"amphip.stoch.StochDataBench.pDataCacheBuffer:·gc.churn.G1_Old_Gen","avgt",1,10,"0,070632","0,022282","MB/sec",8
"amphip.stoch.StochDataBench.pDataCacheBuffer:·gc.churn.G1_Old_Gen.norm","avgt",1,10,"51,851627","16,265817","B/op",8
"amphip.stoch.StochDataBench.pDataCacheBuffer:·gc.count","avgt",1,10,"688,000000",NaN,"counts",8
"amphip.stoch.StochDataBench.pDataCacheBuffer:·gc.time","avgt",1,10,"867,000000",NaN,"ms",8
"amphip.stoch.StochDataBench.pDataCacheBuffer","avgt",1,10,"18915,570905","1712,977894","us/op",12
"amphip.stoch.StochDataBench.pDataCacheBuffer:·gc.alloc.rate","avgt",1,10,"2425,603624","203,178374","MB/sec",12
"amphip.stoch.StochDataBench.pDataCacheBuffer:·gc.alloc.rate.norm","avgt",1,10,"50379445,651279","22265,363117","B/op",12
"amphip.stoch.StochDataBench.pDataCacheBuffer:·gc.churn.G1_Eden_Space","avgt",1,10,"2429,427672","192,376764","MB/sec",12
"amphip.stoch.StochDataBench.pDataCacheBuffer:·gc.churn.G1_Eden_Space.norm","avgt",1,10,"50471766,759658","1058215,528653","B/op",12
"amphip.stoch.StochDataBench.pDataCacheBuffer:·gc.churn.G1_Old_Gen","avgt",1,10,"0,392842","0,042967","MB/sec",12
"amphip.stoch.StochDataBench.pDataCacheBuffer:·gc.churn.G1_Old_Gen.norm","avgt",1,10,"8157,063800","504,551957","B/op",12
"amphip.stoch.StochDataBench.pDataCacheBuffer:·gc.churn.G1_Survivor_Space","avgt",1,10,"6,408052","0,637604","MB/sec",12
"amphip.stoch.StochDataBench.pDataCacheBuffer:·gc.churn.G1_Survivor_Space.norm","avgt",1,10,"133085,608767","6587,158376","B/op",12
"amphip.stoch.StochDataBench.pDataCacheBuffer:·gc.count","avgt",1,10,"287,000000",NaN,"counts",12
"amphip.stoch.StochDataBench.pDataCacheBuffer:·gc.time","avgt",1,10,"3305,000000",NaN,"ms",12
"amphip.stoch.StochDataBench.pDataCacheBuffer","avgt",1,10,"303794,145701","107395,327557","us/op",15
"amphip.stoch.StochDataBench.pDataCacheBuffer:·gc.alloc.rate","avgt",1,10,"1574,914502","424,856751","MB/sec",15
"amphip.stoch.StochDataBench.pDataCacheBuffer:·gc.alloc.rate.norm","avgt",1,10,"507331252,049756","183925,828387","B/op",15
"amphip.stoch.StochDataBench.pDataCacheBuffer:·gc.churn.G1_Eden_Space","avgt",1,10,"1581,154984","463,304015","MB/sec",15
"amphip.stoch.StochDataBench.pDataCacheBuffer:·gc.churn.G1_Eden_Space.norm","avgt",1,10,"508692114,022778","44292207,962125","B/op",15
"amphip.stoch.StochDataBench.pDataCacheBuffer:·gc.churn.G1_Old_Gen","avgt",1,10,"0,097684","0,062191","MB/sec",15
"amphip.stoch.StochDataBench.pDataCacheBuffer:·gc.churn.G1_Old_Gen.norm","avgt",1,10,"31724,902921","19229,256121","B/op",15
"amphip.stoch.StochDataBench.pDataCacheBuffer:·gc.churn.G1_Survivor_Space","avgt",1,10,"15,196905","7,369547","MB/sec",15
